ticker,cik,classification,earnings_8k_count,latest_8k_size,operator_count,has_qa_marker,latest_8k_url,notes
AAPL,0000320193,press_release,49,37639,0,False,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm,
MSFT,0000789019,press_release,38,62233,0,False,https://www.sec.gov/Archives/edgar/data/789019/000119312526191457/msft-20260429.htm,
GOOGL,0001652044,press_release,15,51568,0,False,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000043/goog-20260429.htm,
AMZN,0001018724,press_release,33,46305,0,False,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000012/amzn-20260429.htm,
META,0001326801,press_release,9,28957,0,False,https://www.sec.gov/Archives/edgar/data/1326801/000162828026028364/meta-20260429.htm,
NVDA,0001045810,press_release,29,26803,0,False,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000051/nvda-20260520.htm,
TSLA,0001318605,press_release,73,27615,0,False,https://www.sec.gov/Archives/edgar/data/1318605/000162828026026551/tsla-20260422.htm,
AVGO,0001730168,press_release,43,33143,0,False,https://www.sec.gov/Archives/edgar/data/1730168/000173016826000011/avgo-20260304.htm,
AMD,0000002488,press_release,53,29477,0,False,https://www.sec.gov/Archives/edgar/data/2488/000000248826000072/amd-20260505.htm,
ORCL,0001341439,press_release,53,29640,0,False,https://www.sec.gov/Archives/edgar/data/1341439/000119312526219708/d76569d8k.htm,
PLTR,0001321655,press_release,26,28919,0,False,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000026/pltr-20260504.htm,
CRM,0001108524,press_release,17,24571,0,False,https://www.sec.gov/Archives/edgar/data/1108524/000119312526107403/d887663d8k.htm,
NOW,0001373715,press_release,18,33295,0,False,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000054/now-20260417.htm,
ARM,0001973239,no_earnings_8k,0,,0,False,,
CBRS,0002021728,no_earnings_8k,0,,0,False,,
DLR,0001297996,press_release,64,50494,0,False,https://www.sec.gov/Archives/edgar/data/1297996/000110465926047702/dlr-20260423x8k.htm,
EQIX,0001101239,press_release,47,48258,0,False,https://www.sec.gov/Archives/edgar/data/1101239/000110123926000089/eqix-20260429.htm,
CRDO,0001807794,press_release,20,35172,0,False,https://www.sec.gov/Archives/edgar/data/1807794/000162828026024892/crdo-20260413.htm,
ALAB,0001736297,press_release,9,37459,0,False,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000017/alab-20260505.htm,
COHR,0000820318,press_release,64,26204,0,False,https://www.sec.gov/Archives/edgar/data/820318/000119312526208972/d57080d8k.htm,
AAOI,0001158114,press_release,49,31194,0,False,https://www.sec.gov/Archives/edgar/data/1158114/000168316826003562/aaoi_8k.htm,
